date,country,media_outlet,text,title,url
Oct 12 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/5/,Impulsan el avance educativo para la reinserciÃ³n juvenil,https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/5/
Oct 12 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/5/,Inician retiro de cables en desuso en el sector cÃ©ntrico de Penco,https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/5/
Oct 12 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/6/,"Boric responde a TohÃ¡ por crÃ­ticas al ""complejo"" de la izquierda en seguridad",https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/6/
Oct 12 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/6/,"""SE CREEN ÃNICOS PROTECTORES""",https://www.elsur.cl/impresa/2025/10/13/full/cuerpo-principal/6/
Oct 11 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/12/full/cuerpo-principal/5/,"Vivienda avanza en ejecuciÃ³n de 7,2 kilÃ³metros de ciclovÃ­as en el Gran ConcepciÃ³n",https://www.elsur.cl/impresa/2025/10/12/full/cuerpo-principal/5/
Oct 11 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/12/full/cuerpo-principal/5/,Vecinos de Chiguayante serÃ¡n parte de proyecto de compostaje comunitario,https://www.elsur.cl/impresa/2025/10/12/full/cuerpo-principal/5/
Oct 11 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/12/full/cuerpo-principal/5/,Realizan exitoso trasplante de riÃ±Ã³n gracias a un donante vivo,https://www.elsur.cl/impresa/2025/10/12/full/cuerpo-principal/5/
Oct 6 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/5/,Administradora es condenada a pagar $645 millones por incendio de hogar,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/5/
Oct 6 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/5/,ComisiÃ³n de libertad revisa 365 casos para otorgar beneficios penitenciarios,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/5/
Oct 6 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/5/,Los Ãngeles: detienen a 7 personas en operativo por casas bÃºnker,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/5/
Oct 6 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/3/,Alcaldes y gobernador buscan revertir bajo presupuesto en el Parlamento,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/3/
Oct 6 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/7/,"ABOGADO DE EXPRESIDENTA DENUNCIA A MILEI POR ""ABUSO DE AUTORIDAD""",https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/7/
Oct 6 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/4/,Fondo para el reciclaje impulsa la gestiÃ³n de residuos orgÃ¡nicos en las comunidades,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/4/
Oct 6 2025 @ 21:00:00.000,chile,elsur,https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/6/,"EL ""CURIOSO"" DATO DEL BANCO CENTRAL",https://www.elsur.cl/impresa/2025/10/07/full/cuerpo-principal/6/
